Artificial Sports Lighting,Discuss Throw Facility,Facility ID,Hammer Throw Facility,High Jump Facility,Indoor Throw Net for Javelin,Indoor Throws Training - Cage,Infield Surface Type,Javelin Throw Facility,Long Jump Facility,Oval Track Lanes,Oval Track Length,Pole Vault Facility,Shot Put Facility,SpectatorAccom: Designated Accessible,SpectatorAccom: Designated Accessible Covered,SpectatorAccom: Designated Accessible Uncovered,SpectatorAccom: Capacity Estimate,SpectatorAccom: Checked,SpectatorAccom: Seating,SpectatorAccom: Seating Covered,SpectatorAccom: Seating Uncovered,SpectatorAccom: Shared Flag,SpectatorAccom: Standing,SpectatorAccom: Standing Covered,SpectatorAccom: Standing Uncovered,SpectatorAccom: Total Capacity,Sprint Straight Length,Steeplechase Water Jump,Straight Track Lanes,Track Lanes,Track Length,Track Surface Type,Triple Jump Facility,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
1,0,2009264,0,0,,,11,0,0,7,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,18,0,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,1004,1,5,,0,,,,2014-11-01,,2015-03-11 00:00:00,1,12,1,1,1002425,3,1984,0,2006,537660,190186,51.59372,-0.01404314,Not Known,Not Known,Pay and Play,Public Access
1,1,2009256,1,1,,,11,1,1,8,400.0,1,1,,1,0,1,1,,17000,0,0,,0,0,17001,110,1,8,,,18,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,1004,1,3,,1,,,,,,2024-05-20 12:27:53,1,12,1,1,1002141,2,1964,0,2023,534454,170658,51.419,-0.06774256,Trust,Trust,Registered Membership use,Public Access
1,1,2009259,1,1,,,11,1,1,8,400.0,1,1,,1,0,0,1,,390,0,0,,0,0,391,110,1,8,,,18,1,1,0,,0,,1,1,1,1,1,"Parking: Dedicated bays, Reception Area: Ramp, Changing Facilities: Individual disabled shower",1,1,1,1,1,1004,1,3,,1,,,Places Leisure,,,2023-07-26 11:59:20,1,12,1,1,1002316,2,1990,0,2007,519484,168755,51.40525,-0.2835553,Commercial Management,Commercial,Sports Club / Community Association,Public Access
1,1,2009260,1,1,,,11,1,1,8,400.0,1,1,,1,0,1,1,,439,0,0,,0,0,440,110,1,8,,,18,1,1,1,2005,0,,1,1,1,1,1,Parking: 4 Disabled parking bays.,1,1,0,1,1,1004,1,3,,1,,,,,,2024-02-21 14:11:50,0,12,1,1,1002343,2,1990,0,,536641,181893,51.51944,-0.03196947,Trust,Trust,Pay and Play,Public Access
1,0,2009261,0,0,,,18,0,0,8,400.0,0,0,,1,0,0,1,,1000,0,0,,0,0,1001,110,1,8,,,18,0,1,0,,0,,1,1,1,1,1,,1,1,0,1,1,1004,1,3,,1,,,Fusion Lifestyle,,,2024-05-29 10:29:08,1,12,1,1,1002350,2,1971,0,2015,531640,191299,51.60515,-0.1004882,Trust,Trust,Pay and Play,Public Access
1,0,2009262,0,0,,,11,0,1,8,400.0,0,0,,1,0,1,1,,100,0,0,,0,0,101,110,1,8,,,18,1,1,1,2017,0,,1,1,1,1,1,,1,1,0,1,1,1004,1,3,,1,,,Active Newham,,,2023-08-03 11:33:46,1,12,1,1,1002353,2,1994,0,2008,541373,181939,51.51869,0.03620545,Trust,Trust,Sports Club / Community Association,Public Access
1,0,2009263,0,1,,,18,0,1,6,400.0,0,1,,0,0,0,0,,0,0,0,,0,0,0,110,0,6,,,18,1,1,1,2008,0,,1,1,1,1,1,,1,1,1,1,1,1004,1,3,,1,,,Everyone Active,,,2024-03-08 10:11:16,1,12,1,1,1002361,2,1970,0,2021,525553,182802,51.53018,-0.1913693,Trust,Trust,Registered Membership use,Public Access
1,0,2009265,0,1,,,18,0,1,8,400.0,1,1,,0,0,0,0,,0,0,0,,0,0,0,110,1,8,,,18,1,1,1,2019,0,,1,1,1,1,1,,1,1,0,0,1,1004,1,3,,1,,,,,,2023-10-05 10:38:32,1,12,1,1,1002452,2,1969,0,2019,470581,339494,52.94822,-0.9509996,Commercial Management,Commercial,Sports Club / Community Association,Public Access
0,0,2009266,0,0,,,11,0,1,5,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,100,0,5,,,19,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,1004,1,3,School use - not hired out ,1,,,Active4today,,,2023-07-06 15:49:38,0,12,1,1,1002462,2,1961,0,,466928,368531,53.20966,-0.9993269,School/College/University (in house),Education,Pay and Play,Public Access
1,0,2009267,0,0,,,11,0,0,6,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,19,0,1,1,2006,2,101,1,1,1,1,1,,0,1,1,1,1,1004,1,5,,0,,,,2016-07-31,,2023-06-29 14:37:37,0,12,1,1,30005681,2,1970,0,,481580,352399,53.06264,-0.784073,School/College/University (in house),Education,Private Use,Private
