Artificial Sports Lighting,Automatic Start Gate,Bike Wash,Black Trails,Blue Trails,Extreme Trails,Facility ID,Finish Straight Length,Finish Straight Width,Green Trails,Length of All Trails,Length of Black Trails,Length of Blue Trails,Length of Extreme Trails,Length of Green Trails,Length of Red Trails,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,No of Persons Start Gate,Number of Straights,Number of Turns,Overall Width,Radius of Turns/Bends,Red Trails,Start Gate,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Surface,Timing System,Total Length,Width of Turns/Bends,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
,,0,0,0,0,30009226,,,1,6.0,0.0,0.0,0.0,3.0,3.0,,,,,,,,,1,,,,,,,,,,0,0,,0,,1,1,1,1,1,,1,1,1,1,1,20005,20,3,,1,,,,,2017-02-14 12:38:10,2023-07-26 10:29:21,0,12,1,1,1045062,1,2015,1,,547461,191810,51.60583,0.1280273,Local Authority (in house),Local Authority,Pay and Play,Public Access
1,,,,,,30009227,,,,,,,,,,84.0,10.0,1.0,,,,8.0,40.0,,,,,,,3,0,459.0,,1,1,2008,0,,1,1,1,1,1,,1,1,1,1,1,20002,20,3,,1,,,,,2017-02-14 12:46:54,2024-05-17 07:56:04,0,12,1,1,1002925,2,1960,0,,523342,211738,51.79071,-0.2130262,Trust,Trust,Pay and Play,Public Access
0,0,,,,,30009230,,,,,,,,,,,,,,,,6.0,,,0,,,,,17,,100.0,,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,20004,20,4,Closed,1,,,,,2017-02-14 12:56:48,2023-11-08 10:05:39,1,12,1,1,6003892,1,2005,0,2008,435820,547319,54.81946,-1.444082,Local Authority (in house),Local Authority,Free Public Access,Public Access
0,0,,,,,30009234,,,,,,,,,,,,,,,,3.0,,,1,,,,,3,,100.0,,1,0,,0,,1,1,1,1,1,2 disabled bays,1,1,0,1,1,20004,20,3,Track length = 250m. ,1,,,,,2017-02-14 16:00:16,2023-10-10 13:08:53,0,12,1,1,1005039,2,2008,1,,419444,535146,54.71096,-1.699743,Trust,Trust,Sports Club / Community Association,Public Access
1,,,,,,30009242,100.0,7.75,,,,,,,,,,,,,,6.0,20.0,,,,,,,3,0,1000.0,,1,0,,1,,1,1,1,1,1,,1,1,1,1,1,20007,20,3,,1,,,Everyone Active,,2017-02-14 16:18:29,2024-01-18 14:44:04,0,12,1,1,1059387,2,2010,1,,451173,516845,54.5443,-1.210502,Commercial Management,Commercial,Pay and Play,Public Access
0,0,,,,,30009243,45.0,7.0,,,,,,,,,,,8,4,5,5.0,,,1,10.0,8.0,38.0,7.0,9,,380.0,8.0,1,0,,0,,1,0,1,1,1,,0,1,0,0,1,20003,20,3,,1,,,,,2017-02-14 16:19:23,2024-05-20 10:33:48,0,12,1,1,1044800,1,2005,0,,448924,531608,54.67718,-1.242814,Local Authority (in house),Local Authority,Sports Club / Community Association,Public Access
1,1,,,,,30009256,60.0,7.0,,,,,,,,,,,7,4,3,6.0,,,1,3.0,10.0,62.0,10.0,17,,400.0,5.5,1,0,,1,,1,1,1,1,1,,1,1,1,1,1,20003,20,3,,1,,,,,2017-02-15 09:06:53,2023-07-03 09:15:30,1,12,1,1,1042061,2,2012,0,2017,345153,391285,53.41553,-2.826649,Trust,Trust,Registered Membership use,Public Access
1,,,,,,30009257,,,,,,,,,,82.0,10.0,1.0,,,,9.0,20.0,,,,,,,3,0,400.0,,1,0,,1,,1,1,1,1,1,,1,1,1,1,1,20002,20,3,,1,,,,,2017-02-15 09:06:54,2023-07-03 09:15:31,0,12,1,1,1042061,2,2012,1,,345153,391285,53.41553,-2.826649,Trust,Trust,Registered Membership use,Public Access
1,0,,,,,30009263,56.0,6.0,,,,,,,,,,,8,4,3,6.0,,,1,1.5,8.3,50.0,8.0,3,,400.0,7.0,1,0,,0,,1,1,1,1,1,,1,0,0,0,1,20003,20,3,,1,,,,,2017-02-15 10:14:17,2024-02-23 10:43:11,0,12,1,1,1038832,1,2013,0,,355212,428929,53.7548,-2.680743,Sport Club,Others,Pay and Play,Public Access
1,0,,,,,30009264,51.0,7.0,,,,,,,,,,,8,4,3,6.0,,,1,10.0,8.0,56.0,6.0,17,,314.0,5.0,1,1,2013,0,,1,0,0,0,1,Uneven surfaces,1,0,0,0,0,20003,20,3,,1,,,,,2017-02-15 10:38:27,2024-02-26 09:23:49,1,12,1,1,1208096,1,1988,0,2013,355360,413005,53.6117,-2.676204,Sport Club,Others,Sports Club / Community Association,Public Access
