Facility ID,Facility Criteria Exception Name,Facility Criteria Exception Reason
4000339,Width,should be between 3 and 30
4000340,Length,should be between 4 and 50
4000340,Width,should be between 3 and 30
4000341,Length,should be between 4 and 50
4000341,Width,should be between 3 and 30
2028809,Length,should be between 17 and 26
2028809,Width,should be between 9 and 18
4000344,Length,should be between 4 and 50
4000344,Width,should be between 3 and 30
4000347,Length,should be between 4 and 50
4000347,Width,should be between 3 and 30
4000359,Length,should be between 4 and 50
4000359,Width,should be between 3 and 30
4000360,Length,should be between 4 and 50
4000360,Width,should be between 3 and 30
4000365,Length,should be between 17 and 26
4000365,Width,should be between 9 and 18
4028540,Width,should be between 53 and 100
4000373,Length,should be between 4 and 50
4000373,Width,should be between 3 and 30
4000376,Length,should be between 4 and 50
4000376,Width,should be between 3 and 30
4000378,Length,should be between 4 and 50
4000378,Width,should be between 3 and 30
4113997,Length,should be between 4 and 50
4113997,Width,should be between 3 and 30
4074492,Length,should be between 4 and 50
4074492,Width,should be between 3 and 30
4000406,Length,should be between 4 and 50
4000406,Width,should be between 3 and 30
4080256,Length,should be between 4 and 50
4080256,Width,should be between 3 and 30
4000414,Length,should be between 4 and 50
4000414,Width,should be between 3 and 30
4000416,Length,should be between 4 and 50
4000416,Width,should be between 3 and 30
4000417,Length,should be between 4 and 50
4000417,Width,should be between 3 and 30
4083020,Length,should be between 4 and 50
4083020,Width,should be between 3 and 30
4000473,Length,should be between 4 and 50
4000473,Width,should be between 3 and 30
4000482,Length,should be between 4 and 50
4000482,Width,should be between 3 and 30
4000492,Length,should be between 4 and 50
4000492,Width,should be between 3 and 30
4000493,Length,should be between 4 and 50
4000493,Width,should be between 3 and 30
4101278,Length,should be between 4 and 50
4101278,Width,should be between 3 and 30
4000515,Length,should be between 4 and 50
4000515,Width,should be between 3 and 30
4000529,Length,should be between 4 and 50
4000529,Width,should be between 3 and 30
4000531,Length,should be between 4 and 50
4000531,Width,should be between 3 and 30
4114300,Length,should be between 17 and 26
4114300,Width,should be between 9 and 18
4000579,Length,should be between 4 and 50
4000579,Width,should be between 3 and 30
4000583,Length,should be between 4 and 50
4000583,Width,should be between 3 and 30
4000584,Length,should be between 4 and 50
4000584,Width,should be between 3 and 30
4000585,Length,should be between 4 and 50
4000585,Width,should be between 3 and 30
4000586,Length,should be between 4 and 50
4000586,Width,should be between 3 and 30
4000588,Length,should be between 4 and 50
4000588,Width,should be between 3 and 30
4000615,Length,should be between 4 and 50
4000615,Width,should be between 3 and 30
4000623,Length,should be between 4 and 50
4000623,Width,should be between 3 and 30
4000629,Length,should be between 4 and 50
4000629,Width,should be between 3 and 30
4000649,Length,should be between 4 and 50
4000649,Width,should be between 3 and 30
4000657,Length,should be between 4 and 50
4000657,Width,should be between 3 and 30
4000666,Length,should be between 4 and 50
4000666,Width,should be between 3 and 30
4000667,Length,should be between 4 and 50
4000667,Width,should be between 3 and 30
4000674,Length,should be between 4 and 50
4000674,Width,should be between 3 and 30
4000677,Length,should be between 4 and 50
4000677,Width,should be between 3 and 30
4117445,Length,should be between 17 and 26
4117445,Width,should be between 9 and 18
4000688,Length,should be between 4 and 50
4000688,Width,should be between 3 and 30
4000696,Length,should be between 4 and 50
4000696,Width,should be between 3 and 30
4000709,Length,should be between 4 and 50
4000709,Width,should be between 3 and 30
4000714,Length,should be between 4 and 50
4000714,Width,should be between 3 and 30
4000721,Length,should be between 4 and 50
4000721,Width,should be between 3 and 30
4000725,Length,should be between 4 and 50
4000725,Width,should be between 3 and 30
4000737,Length,should be between 4 and 50
4000737,Width,should be between 3 and 30
4000751,Length,should be between 4 and 50
4000751,Width,should be between 3 and 30
4000753,Length,should be between 4 and 50
4000753,Width,should be between 3 and 30
4000760,Length,should be between 4 and 50
4000760,Width,should be between 3 and 30
4000762,Length,should be between 4 and 50
4000762,Width,should be between 3 and 30
4000766,Length,should be between 4 and 50
4000766,Width,should be between 3 and 30
4000767,Length,should be between 4 and 50
4000767,Width,should be between 3 and 30
4118020,Length,should be between 4 and 50
4118020,Width,should be between 3 and 30
4000776,Length,should be between 4 and 50
4000776,Width,should be between 3 and 30
4000791,Length,should be between 4 and 50
4000791,Width,should be between 3 and 30
4000792,Length,should be between 4 and 50
4000792,Width,should be between 3 and 30
4000793,Length,should be between 4 and 50
4000793,Width,should be between 3 and 30
4000796,Length,should be between 4 and 50
4000796,Width,should be between 3 and 30
4000800,Length,should be between 4 and 50
4000800,Width,should be between 3 and 30
4000807,Length,should be between 4 and 50
4000807,Width,should be between 3 and 30
4000809,Length,should be between 4 and 50
4000809,Width,should be between 3 and 30
4000842,Length,should be between 4 and 50
4000842,Width,should be between 3 and 30
4000847,Length,should be between 4 and 50
4000847,Width,should be between 3 and 30
4000849,Length,should be between 4 and 50
4000849,Width,should be between 3 and 30
4000867,Length,should be between 4 and 50
4000867,Width,should be between 3 and 30
4000868,Length,should be between 4 and 50
4000868,Width,should be between 3 and 30
4000879,Length,should be between 4 and 50
4000879,Width,should be between 3 and 30
4000886,Length,should be between 4 and 50
4000886,Width,should be between 3 and 30
4000887,Length,should be between 4 and 50
4000887,Width,should be between 3 and 30
4000905,Length,should be between 4 and 50
4000905,Width,should be between 3 and 30
4000907,Length,should be between 4 and 50
4000907,Width,should be between 3 and 30
4000909,Length,should be between 4 and 50
4000909,Width,should be between 3 and 30
4000912,Length,should be between 4 and 50
4000912,Width,should be between 3 and 30
4000914,Length,should be between 4 and 50
4000914,Width,should be between 3 and 30
4000918,Length,should be between 4 and 50
4000918,Width,should be between 3 and 30
4000922,Length,should be between 4 and 50
4000922,Width,should be between 3 and 30
4000923,Length,should be between 4 and 50
4000923,Width,should be between 3 and 30
4000924,Length,should be between 4 and 50
4000924,Width,should be between 3 and 30
4000925,Length,should be between 4 and 50
4000925,Width,should be between 3 and 30
4000929,Length,should be between 4 and 50
4000929,Width,should be between 3 and 30
4000933,Length,should be between 4 and 50
4000933,Width,should be between 3 and 30
4000934,Length,should be between 4 and 50
4000934,Width,should be between 3 and 30
4000943,Length,should be between 4 and 50
4000943,Width,should be between 3 and 30
4000944,Length,should be between 4 and 50
4000944,Width,should be between 3 and 30
4000948,Length,should be between 4 and 50
4000948,Width,should be between 3 and 30
4000949,Length,should be between 4 and 50
4000949,Width,should be between 3 and 30
4000952,Length,should be between 4 and 50
4000952,Width,should be between 3 and 30
4000956,Length,should be between 4 and 50
4000956,Width,should be between 3 and 30
4000957,Length,should be between 4 and 50
4000957,Width,should be between 3 and 30
4000975,Length,should be between 4 and 50
4000975,Width,should be between 3 and 30
4000984,Length,should be between 17 and 26
4000984,Width,should be between 9 and 18
4001009,Length,should be between 4 and 50
4001009,Width,should be between 3 and 30
4001017,Length,should be between 4 and 50
4001017,Width,should be between 3 and 30
4001018,Length,should be between 4 and 50
4001018,Width,should be between 3 and 30
4001022,Length,should be between 4 and 50
4001022,Width,should be between 3 and 30
4001025,Length,should be between 4 and 50
4001025,Width,should be between 3 and 30
4001029,Length,should be between 4 and 50
4001029,Width,should be between 3 and 30
4001060,Length,should be between 4 and 50
4001060,Width,should be between 3 and 30
4001061,Length,should be between 4 and 50
4001061,Width,should be between 3 and 30
4001062,Length,should be between 4 and 50
4001062,Width,should be between 3 and 30
4001068,Length,should be between 4 and 50
4001068,Width,should be between 3 and 30
4028257,Length,should be between 4 and 50
4028257,Width,should be between 3 and 30
4028258,Length,should be between 4 and 50
4028258,Width,should be between 3 and 30
4001072,Length,should be between 4 and 50
4001072,Width,should be between 3 and 30
