Facility Subtype Description,Facility Type ID,Facility Subtype ID,Facility Subtype Name
,5,5005,Junior Rugby League
"An oval running track facility with a minimum length of 400m and sprint straight (minimum 100m in length), with optional field-based throwing and jumping facilities (for example High Jump, Long/Triple Jump, Pole Vault, Shot Put, Javelin, Hammer, Discus).",1,1004,Standard Oval Outdoor
"A standard or freeform outdoor oval running track facility with a minimum length of 100m and maximum length of 399m, sprint straight (minimum 40m), with optional field-based throwing and jumping facilities (for example High Jump, Long/Triple Jump, Pole Vault, Shot Put, Javelin, Hammer, Discus).",1,1005,Mini Outdoor
"A non-oval outdoor track with a minimum length of 40m. These facilities tend to be a sprint straight but can include “J” shaped running tracks. Optional field-based throwing and jumping facilities (these typically include: High Jump, Long/Triple Jump, Shot Put).",1,1006,Compact Outdoor
Standalone throwing and/or jumping facility(s) that do not have a running track as part of the facility.,1,1007,Standalone Field
"Indoor oval track (minimum 200m) and sprint straight (minimum 60m), with optional field event provision, typically: High Jump, Long/Triple Jump, Pole Vault, indoor throws cage for Hammer, Discus and Shot Put and throws net for Javelin.",1,1008,Standalone Oval Indoor
"Synthetic indoor sprint straight (minimum 60m) with optional field event provision, typically: High Jump, Long/Triple Jump and shot put.",1,1009,Indoor Training
"No subtype, see Facility Type for description.",2,2001,Health and Fitness Gym
"No subtype, see Facility Type for description.",3,3002,Indoor Bowls
Unframed fabric structure which requires inflating to form its shape. Commonly referred to as 'Bubbles'. Can be over existing outdoor courts. Most common type of non-traditional indoor court. ,4,4001,Airhall
"As above, but only inflated part of the year.",4,4002,Airhall (seasonal)
Steel frame covered with fabric. Permanent structure which does not require 'inflating'. ,4,4003,Framed Fabric
Permanent structure which is not fabric. Traditional steel/timber framed and block structure.,4,4004,Traditional
"FA recommended dimensions: 100m x 64m (106m x 70m with 3m run offs).
Reference: Sport England Comparative Sizes of Sports Pitches & Courts (OUTDOOR) - September 2015 Update.",5,5001,Adult Football
"FA recommended dimensions: (U13&U14) 82m x 50m (88m x 56m with 3m run offs); (U15&16) 91m x 55m (97m x 61m with 3m run offs).
Reference: Sport England Comparative Sizes of Sports Pitches & Courts (OUTDOOR)-September 2015 Update.",5,5002,Junior Football 11v11
"A cricket pitch includes at least one wicket, outfield and boundary.
ECB Recommended dimensions: 
Single cricket pitch: U13 Junior 19.20m x3.05m, Senior 20.12m x3.05m.
Distance from boundary to middle stump of pitch in use: Junior 36.58 m (40 yds) 36.58m, Senior 45.72 m (50 yds) min, 82.26 m (90 yds) max.
Reference: Sport England Comparative Sizes of Sports Pitches & Courts (OUTDOOR) -September 2015 Update.",5,5003,Cricket
"RFL recommended dimensions for pitch including in-goal: 116m x 68m (116m x 74m with 3m run off to long sides only).
Reference: Sport England Comparative Sizes of Sports Pitches & Courts (OUTDOOR)-September 2015 Update.",5,5004,Senior Rugby League
"RFU recommended dimensions pitch including in-goal: 144m x 70m (154m x 80m with 5m run offs).
Reference: Sport England Comparative Sizes of Sports Pitches & Courts (OUTDOOR)-September 2015 Update.",5,5006,Senior Rugby Union
,5,5007,Junior Rugby Union
"AFL recommended dimensions: 165m x 135m oval (172m x 142m with 4m run offs).
Reference: AFL Preferred Community Facility Guidelines (2024).",5,5008,Australian Rules Football
"BARFA recommended dimensions: 109.73m x 48.77m (117.05m x 56.09m with 3.66m run offs).
Reference: Sport England Comparative Sizes of Sports Pitches & Courts (OUTDOOR)-September 2015 Update.",5,5009,American Football
