Dimensions Estimate,Facility ID,Length,Area,Width,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
0,2008712,31.0,496.0,16.0,1,1,2015,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2023-07-10 13:10:22,1,12,1,1,1002388,2,1970,0,2010,531005,186140,51.55894,-0.111574,Trust,Trust,Pay and Play,Public Access
0,2008714,60.0,1800.0,30.0,1,0,,0,,1,1,1,1,1,IFI accredited.,1,1,1,1,1,10001,10,3,,1,,,Freedom Leisure,,,2024-05-30 14:43:29,1,12,1,1,1003192,2,1993,0,2003,500389,150988,51.24923,-0.5629895,Trust,Trust,Pay and Play,Public Access
0,2008715,56.0,1456.0,26.0,1,1,2019,2,,1,1,1,1,1,,1,1,1,0,1,10001,10,3,,1,,,Chelmsford City Council,,,2023-05-22 15:20:43,1,12,1,1,30008365,2,1987,0,2019,571133,207016,51.73573,0.4769779,Local Authority (in house),Local Authority,Pay and Play,Public Access
0,2008716,30.0,750.0,25.0,0,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-01-17 15:13:05,1,12,1,1,1003823,2,1995,0,2015,506754,206555,51.74755,-0.4550241,Commercial Management,Commercial,Pay and Play,Public Access
0,2008717,48.0,672.0,14.0,1,1,2005,0,201,1,1,1,1,1,,1,1,1,1,1,10001,10,5,,1,,,,2023-01-01,,2023-01-16 08:49:34,0,12,1,1,1004477,2,1991,0,,247222,54339,50.36905,-4.149676,Commercial Management,Commercial,Pay and Play,Public Access
0,2008718,29.4,770.0,26.2,0,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,Doncaster Culture And Leisure Trust,,,2023-10-09 16:01:49,0,12,1,1,1004742,2,1999,0,,459813,402465,53.51549,-1.099438,Trust,Trust,Pay and Play,Public Access
0,2008719,22.4,448.0,20.0,0,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,Doncaster Culture And Leisure Trust,,,2023-10-09 16:01:49,0,12,1,1,1004742,2,1999,0,,459813,402465,53.51549,-1.099438,Trust,Trust,Pay and Play,Public Access
0,2008720,60.0,1800.0,30.0,1,0,,0,201,1,1,1,1,1,,1,1,1,1,1,10001,10,5,,1,,,,2020-07-14,,2020-08-04 19:37:39,1,12,1,1,1004848,2,1987,0,2003,484513,169110,51.41472,-0.7861114,Commercial Management,Commercial,Registered Membership use,Public Access
1,2008722,56.0,1456.0,26.0,1,1,2011,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,Tees Active Ltd,,,2023-07-02 11:01:00,1,12,1,1,1005155,2,1966,0,2011,446062,523770,54.60702,-1.288426,Trust,Trust,Pay and Play,Public Access
0,2008723,56.0,1456.0,26.0,1,0,,0,,1,1,1,1,1,Parking: 10 designated bays,1,1,1,0,1,10001,10,3,,1,,,Greenwich Leisure Limited,,,2023-12-19 12:57:40,1,12,1,1,1005440,2,1985,0,2023,411805,184441,51.55873,-1.8311,Trust,Trust,Pay and Play,Public Access
