Dimensions Estimate,Facility ID,Length,Rinks,Area,Width,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
0,2008795,34.2,3,431.0,12.6,1,1,2007,2,999,0,0,0,0,0,,0,0,0,0,0,3002,3,5,,1,,,,2011-05-01,,2021-10-27 11:35:11,1,12,1,1,1004830,2,1974,0,2007,359899,167976,51.40938,-2.57795,Not Known,Not Known,Pay and Play,Public Access
0,2008796,35.3,6,985.0,27.9,1,1,2016,0,103,1,1,1,1,1,"Parking: Designated Spaces, Changing Facilities: 2 Designated Toilets, Emergency Exits: Ramps",1,1,1,1,1,3002,3,5,,1,,,Greenwich Leisure Limited,2023-03-31,,2023-07-18 16:38:42,1,12,1,1,1004863,2,1988,0,2008,470618,174545,51.46548,-0.9847922,Trust,Trust,Registered Membership use,Public Access
0,2008797,40.0,4,768.0,19.2,1,1,2014,0,101,1,1,1,1,1,,1,1,1,1,1,3002,3,5,,1,,,Freedom Leisure,2020-01-01,,2024-02-05 15:23:45,0,12,1,1,1004892,2,1980,0,,545498,309746,52.66592,0.1501191,Trust,Trust,Pay and Play,Public Access
0,2008798,35.1,4,674.0,19.2,1,1,1994,0,,1,1,1,1,1,Parking: 2 Bays,1,1,1,1,1,3002,3,3,,1,,,,,,2024-02-23 15:20:41,0,12,1,1,1004914,2,1994,0,,559434,272789,52.33004,0.3383408,Community Organisation,Others,Registered Membership use,Public Access
0,2008799,36.0,6,972.0,27.0,1,0,,0,,1,1,1,1,1,Modern site with good access throughout.  Specific changing with hoists and changing tables/couches,1,1,1,1,1,3002,3,3,,1,,,Places Leisure,,,2024-05-24 08:17:39,0,12,1,1,1004974,2,1976,0,,440726,355680,53.09679,-1.393253,Commercial Management,Commercial,Pay and Play,Public Access
0,2008800,35.3,4,660.0,18.7,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,3002,3,5,,1,,,,2015-07-10,,2015-07-14 00:00:00,1,12,1,1,1005003,3,1975,0,2008,411137,551350,54.85683,-1.828049,Not Known,Not Known,Pay and Play,Public Access
0,2008801,42.0,4,895.0,21.3,1,0,,0,,1,1,1,1,1,,1,1,0,1,1,3002,3,3,,1,,,,,,2023-09-26 11:15:14,0,12,1,1,1005018,2,1999,0,,429572,532353,54.68538,-1.542835,Local Authority (in house),Local Authority,Pay and Play,Public Access
0,2008803,35.1,4,635.0,18.1,1,1,2014,0,,1,0,1,1,1,,1,1,1,1,1,3002,3,3,,1,,,,,,2024-05-24 09:09:37,1,12,1,1,1005030,2,1978,0,2009,426687,524214,54.6124,-1.588322,Local Authority (in house),Local Authority,Pay and Play,Public Access
0,2008804,35.1,3,505.0,14.4,1,1,2000,2,102,1,1,1,1,1,,1,1,1,1,1,3002,3,5,,1,,,,2016-11-01,,2023-07-06 14:07:24,1,12,1,1,1005031,2,1981,0,2002,427754,551245,54.85524,-1.569236,Local Authority (in house),Local Authority,Sports Club / Community Association,Public Access
0,2008805,35.4,3,489.0,13.8,1,1,2014,0,,1,1,1,1,1,,1,1,0,1,1,3002,3,3,,1,,,,,,2023-05-18 14:49:53,1,12,1,1,1005038,2,1982,0,2013,423538,526596,54.63396,-1.636887,Local Authority (in house),Local Authority,Pay and Play,Public Access
