Courts,Facility ID,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Surface Type,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
9,2021623,2,2,2,2,2,2,1,1,1,2007,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-10-31 14:37:03,1,12,1,1,1000056,2,1997,0,2007,384611,406660,53.55635,-2.233766,Commercial Management,Commercial,Registered Membership use,Public Access
6,2021624,2,2,2,2,2,2,1,1,1,2005,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2024-05-09 13:58:25,1,12,1,1,1000065,2,1995,0,2009,509123,427915,53.73623,-0.3471652,Commercial Management,Commercial,Pay and Play,Public Access
8,2021626,2,2,2,2,2,2,5,1,1,2009,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-29 09:30:38,0,12,1,1,1000068,2,1998,0,,457663,336817,52.9257,-1.143705,Commercial Management,Commercial,Registered Membership use,Public Access
6,2021627,2,2,2,2,2,2,5,1,1,2004,0,,1,1,1,1,1,,1,1,1,1,1,4001,4,3,,1,,,,,,2023-11-27 11:45:50,1,12,1,1,1000077,2,1996,0,2006,521999,175238,51.46297,-0.2451923,Sport Club,Others,Registered Membership use,Public Access
12,2021628,2,2,2,2,2,2,5,1,1,2019,0,,1,1,1,1,1,Lift.,1,1,1,1,1,4004,4,3,,1,,,,,,2023-05-17 14:46:58,1,12,1,1,1000078,2,1990,0,2019,487639,166328,51.38924,-0.7418575,Commercial Management,Commercial,Registered Membership use,Public Access
7,2021629,2,2,2,2,2,2,5,1,1,2014,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-17 15:08:30,1,12,1,1,1000079,2,1998,0,2014,413097,277510,52.39547,-1.808945,Commercial Management,Commercial,Registered Membership use,Public Access
8,2021630,2,2,2,2,2,2,5,1,1,2005,0,,1,1,1,1,1,"Parking: 8 Designated Bays, Finding/Reaching Entrance: Ramp, Emergency Exits: Ramps",1,1,1,1,1,4004,4,3,,1,,,,,,2023-05-12 12:27:48,0,12,1,1,1000082,2,1998,0,,436630,552400,54.86506,-1.430842,Commercial Management,Commercial,Registered Membership use,Public Access
6,2021631,2,2,2,2,2,2,5,1,1,2007,0,,1,1,1,1,1,Lift,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-21 16:14:59,0,12,1,1,1000094,2,1996,0,,434833,277049,52.39038,-1.489565,Commercial Management,Commercial,Registered Membership use,Public Access
5,2021632,2,2,2,2,2,2,1,1,1,2004,0,,1,1,1,1,1,,1,1,1,0,1,4004,4,3,,1,,,,,,2024-02-02 12:29:38,0,12,1,1,1000105,2,1990,0,,465830,154256,51.28365,-1.057461,Commercial Management,Commercial,Registered Membership use,Public Access
2,2021633,2,2,2,2,2,2,4,1,0,,0,,0,0,0,0,0,,0,0,0,0,0,4001,4,3,,1,,,,,,2024-01-02 11:14:40,1,12,1,1,1000109,2,1986,0,2005,377215,162460,51.36074,-2.328633,Commercial Management,Commercial,Registered Membership use,Public Access
5,2021634,2,2,2,2,2,2,5,1,1,2011,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-30 12:17:16,1,12,1,1,1000115,2,1997,0,2010,429693,438696,53.84368,-1.550204,Commercial Management,Commercial,Registered Membership use,Public Access
3,2021635,2,2,2,2,2,2,5,1,1,2015,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-10-11 13:24:43,1,12,1,1,1000116,2,1994,0,2008,415279,104191,50.83704,-1.784375,Commercial Management,Commercial,Registered Membership use,Public Access
3,2021636,2,2,2,2,2,2,5,1,1,2001,0,,1,1,1,1,1,,1,1,1,1,1,4001,4,3,,1,,,,,,2023-08-31 11:11:23,0,12,1,1,1000134,2,1991,0,,584904,226809,51.90913,0.6867469,Commercial Management,Commercial,Registered Membership use,Public Access
3,2021637,2,2,2,2,2,2,5,1,1,2001,0,,1,1,1,1,1,Lift,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-31 11:11:23,1,12,1,1,1000134,2,1991,0,2008,584904,226809,51.90913,0.6867469,Commercial Management,Commercial,Registered Membership use,Public Access
