Site ID,Site Quality Name,Site Quality Note
1008789,6,RLSS UK Approved Training Centre
1208349,5,"Hold Clubmark status through the sports governing body, the England and Wal (cont.) "
1207867,6,Football Club (Codnor Boys / GFC Codnor Football Club) have the FA Charter  (cont.) 
1018641,1,
1039132,6,Rfu Accredited 
1044195,6,LTA TennisMark + accredited
6019744,2,
1103042,1,Site was accredited with 'Good' following Quest assessment in February 2017
1004594,6,Swim England Approved Centre
1200383,6,Investor in people
6004178,2,
6004140,2,
1004509,6,FANS Affiliated Centre (Free Access for National Sports people)
1041445,6,FA Charter Standard Award
1042129,6,UK Youth
6008471,6,Lyng Sports Field is registered as a Fields in Trust 
1040855,6,ECB Clubmark Number :  00424
6020293,2,
20001055,6,ECB Clubmark
1041078,5,Charter Standard Club
1010930,6,"GymMark
CAPS
ClubMark
FA Charter Standard
Table Tennis Premier Club
Sp (cont.) "
1001213,5,England Squash Gold Charter Club
1001213,5,England Squash Gold Charter
1003552,1,Rated Good Quest November 2014
6016773,6,Gold Sports Kite Mark
1005637,1,2016 - Good/Excellent
6017722,2,
1005637,6,Flame 2015 Runner up for best multi use site
1069642,6,school games mark - Gold award july 2019
6001640,6,CASC Registered 
6012100,5,FA Chartered Standard Youth Football Club
1006812,5,CSE 2018 
1009370,5,CSE Sep 2018
6010554,6,Awarded the FA Chartered Standard ' Development club of the year 2014'
1004792,6,WINNER - Move GB BEST SWIMMING FACILITY 2015 (Bristol & Bath)
1008289,1,Quest- Excellent (July 2014)
1008289,6,UK Active Flame Awards- Leisure Centre of the Year- Streamline 2016
1010208,1,
1011240,6,Tennis Mark +
1208669,6,ECB Clubmark Accredited
1004045,1,
1005780,1,
1040014,6,Protected Playing Field
1042571,5,
6012521,6,Essex Playing Fields Award.  Best new project
1003915,6,RLSS Training Approved Centre
1202252,6,ECB Clubmark
1005268,1,Very Good
1005314,6,UK Active Approved
1002369,1,
6016998,2,
1202141,2,
6016948,2,
1001180,6,UK Active Member
1014007,6,FA Register
1005111,1,
1014008,6,FA Register
1011651,1,QUEST Excellence achieved in 2016
1039688,2,Mainsforth Sports Complex has held Green Flag Status since 2008
6001365,6,FA Standard Charter Club
1036288,5,
1207177,6,RFU Club Accreditation
1207177,6,ECB ClubMark
1039723,1,
1039723,2,
1011550,1,
1011550,2,
1042661,6,YMCA Youth Matters Award - Centre of the Year 2016
1004897,6,Approved IQL Training Centre
1204057,6,FIFA Approved 3G surface
1002412,1,Good
1005484,1,Quest Plus achieved in Feb 2016.
1002359,1,Quest Plus - Excellent
1100584,6,Silver Carbon Charter Award
1207650,6,RFU Accredited Club
6008825,6,QEII Field
1002447,6,RoSPA- Leisure Silver Safety Award
1002447,6,CredAbility Award
1003576,1,Entry Level
1003576,6,ISO 14001 - EMS
1008368,5,FA Charter Mark for Adult and Junior teams
1008368,6,Registered with Active Places
1005343,1,
1002649,1,
1013695,1,Excellent
1002651,1,
1019033,1,
6011367,6,ROSPA approved
6017179,6,England Rugby Accredited Club
1043034,2,
1044347,3,
1044347,6,National Quality In Careers Standard Chartermark 
1044347,6,The Workplace Wellbeing Charter - National Award England
1044347,6,Healthy Schools Accreditation
1044347,6,Centre of Excellence - Secondary schools Geography Quality Mark 
1044347,6,National Citizen Service
1208130,6,Clubmark Accreditation
1014791,6,Tennis mark
1044429,6,Silver Sports Games Mark
6014129,2,
6014129,6,"Dartfish
Arts Gold"
6001453,6,ACRE Hallmark One accreditation
6021592,2,Green Flag status retained for the 8th year running and awarded with distinction
6021592,6,AfPE Quality Mark with Distinction retained for the third time
6021592,6,School Games Platinum Mark retained 
1041862,6,ECB Clubmark
6013750,2,asdf
1045061,6,Investors In People Gold Award
6010070,2,
6010070,6,IQM Centre of Excellence
6010070,6,WAS Wellbeing Award for School
6010070,6,LPPA Leading Parent Partnership Award
6010070,6,University of Bedfordshire Initial Teacher Education Partnership School
6010070,6,Primary Quality Mark
6010070,6,Early Years Quality Mark
6010070,6,Music Mark
6010070,6,International Eco-Schools Award
6010070,6,Artsmark Platinum 2018
1208652,6,Clubmark
1041463,6,Clubmark
1207010,2,
1207011,2,
1040099,2,
6007349,2,
1002511,1,
1040772,5,FA Charter Standard Development Club
6017143,6,Community Charter Standard Club
1002477,6,All of our leisure centres are accredited facilities and have been verified (cont.) 
1100861,6,Winner of 3 59Club service awards for The Pro shop and Clubhouse
30004632,6,Field in Trust
1008358,1,Quest Plus Completed Dec 19 - Very Good
1043669,6,ClubMark - Tennis
1043669,6,Level 5 Tennis Coach
1043669,6,2 x EBCS Level 2 Bowls Coaches
1043669,6,4 x Level 1 EBCS and BDA Bowls Coaches
1206922,6,CASC
1004974,3,
1004974,1,quest outstanding
1206397,6,ECB Clubmark
1005299,1,
1002473,6,Credable Access
1011112,6,CLUBMARK
6019563,6,ECB Clubmark and approved ECB All Stars cricket centre
30006572,6,FA Charter Standard
6019716,6,ECB Clubmark Accreditation since 2011
1011592,6,"AALA, LOTC, DofE AAP, IOL"
1202322,2,
