Artificial Sports Lighting,Facility ID,Freestyle Features,Moguls,Skiable Length,Skiable Width,Slope Type,Surface Type,Tow,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
1,2009159,3,2,40.0,15.0,1,21,1,1,1,2006,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2024-04-17 15:00:47,1,12,1,1,1011594,2,1973,0,2008,384838,215173,51.83497,-2.221436,Commercial Management,Commercial,Pay and Play,Public Access
1,2009160,3,2,60.0,12.0,10,10,1,1,1,2006,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2024-04-17 15:00:47,1,12,1,1,1011594,2,1973,0,2008,384838,215173,51.83497,-2.221436,Commercial Management,Commercial,Pay and Play,Public Access
1,2009161,3,0,255.0,12.0,2,21,1,1,1,2006,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2024-04-17 15:00:47,1,12,1,1,1011594,2,1973,0,2008,384838,215173,51.83497,-2.221436,Commercial Management,Commercial,Pay and Play,Public Access
1,2009162,1,2,230.0,12.0,3,10,1,1,1,2006,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2024-04-17 15:00:47,1,12,1,1,1011594,2,1973,0,2008,384838,215173,51.83497,-2.221436,Commercial Management,Commercial,Pay and Play,Public Access
1,2009130,4,2,80.0,12.0,2,15,1,1,0,,0,,1,1,1,1,1,"Changing Facilities: Residential provision for 4 wheelchair users, Activity Areas: Adapted ski, canoe & abseil equipment",1,1,1,0,1,11001,11,3,,1,,,,,,2023-07-31 11:11:28,1,12,1,1,1011584,2,1979,0,1999,554373,133079,51.07627,0.2023135,Commercial Management,Commercial,Sports Club / Community Association,Public Access
,2009131,4,2,40.0,37.0,1,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,0,1,11003,11,3,,1,,,,,,2024-03-08 15:03:52,0,12,1,1,1011585,2,2003,0,,443596,423933,53.71003,-1.340993,Commercial Management,Commercial,Pay and Play,Public Access
,2009132,4,2,170.0,40.0,3,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,0,1,11003,11,3,,1,,,,,,2024-03-08 15:03:53,0,12,1,1,1011585,2,2003,0,,443596,423933,53.71003,-1.340993,Commercial Management,Commercial,Pay and Play,Public Access
0,2009134,4,2,600.0,200.0,2,15,1,1,1,2005,0,,1,1,1,1,1,,1,1,0,0,1,11002,11,3,Open only when there is sufficient snow cover.,1,,,,,,2023-08-21 07:36:51,0,4,11,2,1011586,1,1976,0,,376054,538193,54.73814,-2.373438,Sport Club,Others,Registered Membership use,Public Access
0,2009135,4,2,600.0,60.0,2,15,1,1,1,2005,0,,1,1,1,1,1,,1,1,0,0,1,11002,11,3,Open only when there is sufficient snow cover.,1,,,,,,2023-08-21 07:36:51,0,12,1,1,1011586,1,1976,0,,376054,538193,54.73814,-2.373438,Commercial Management,Commercial,Registered Membership use,Public Access
0,2009136,4,2,600.0,60.0,3,15,1,1,1,2005,0,,1,1,1,1,1,,1,1,0,0,1,11002,11,3,Open only when there is sufficient snow cover.,1,,,,,,2023-08-21 07:36:52,0,4,11,2,1011586,1,1976,0,,376054,538193,54.73814,-2.373438,Commercial Management,Commercial,Registered Membership use,Public Access
